41542 , 0.0315 , 
41543 , 0.0281 , 
41545 , 0.0315 , 
41547 , 0.0256 , 
41548 , 0.0278 , 
41550 , 0.0325 , 
41552 , 0.0342 , 
41554 , 0.0298 , 
41555 , 0.0281 , 
41558 , 0.0344 , 
41560 , 0.0313 , 
41562 , 0.0271 , 
41563 , 0.0281 , 
41565 , 0.0339 , 
41567 , 0.0305 , 
41569 , 0.0313 , 
41570 , 0.0364 , 
41572 , 0.0295 , 
41574 , 0.0251 , 
41575 , 0.0273 , 
41577 , 0.0327 , 
41579 , 0.0303 , 
41581 , 0.0320 , 
41582 , 0.0308 , 
41584 , 0.0281 , 
41586 , 0.0298 , 
41588 , 0.0308 , 
41589 , 0.0305 , 
41591 , 0.0332 , 
41593 , 0.0334 , 
41594 , 0.0339 , 
41596 , 0.0322 , 
41598 , 0.0300 , 
41601 , 0.0327 , 
41602 , 0.0310 , 
41604 , 0.0305 , 
41606 , 0.0325 , 
41608 , 0.0315 , 
41609 , 0.0295 , 
41611 , 0.0286 , 
41613 , 0.0337 , 
41614 , 0.0266 , 
41616 , 0.0266 , 
41618 , 0.0295 , 
41620 , 0.0317 , 
41621 , 0.0325 , 
41623 , 0.0281 , 
41625 , 0.0303 , 
41627 , 0.0298 , 
41628 , 0.0291 , 
41630 , 0.0261 , 
41632 , 0.0317 , 
41633 , 0.0278 , 
41635 , 0.0325 , 
41637 , 0.0310 , 
41639 , 0.0344 , 
41640 , 0.0281 , 
41643 , 0.0352 , 
41645 , 0.0288 , 
41647 , 0.0310 , 
41648 , 0.0291 , 
41650 , 0.0266 , 
41652 , 0.0295 , 
41653 , 0.0298 , 
41655 , 0.0278 , 
41657 , 0.0339 , 
41659 , 0.0300 , 
41660 , 0.0303 , 
41662 , 0.0374 , 
41664 , 0.0293 , 
41666 , 0.0271 , 
41667 , 0.0332 , 
41669 , 0.0325 , 
41671 , 0.0291 , 
41672 , 0.0295 , 
41674 , 0.0273 , 
41676 , 0.0286 , 
41678 , 0.0293 , 
41679 , 0.0300 , 
41681 , 0.0273 , 
41683 , 0.0337 , 
41686 , 0.0322 , 
41687 , 0.0276 , 
41689 , 0.0342 , 
41691 , 0.0247 , 
41692 , 0.0276 , 
41694 , 0.0293 , 
41696 , 0.0261 , 
41698 , 0.0308 , 
41699 , 0.0325 , 
41701 , 0.0344 , 
41703 , 0.0251 , 
41704 , 0.0269 , 
41706 , 0.0325 , 
41708 , 0.0283 , 
41710 , 0.0286 , 
41711 , 0.0322 , 
41713 , 0.0269 , 
41715 , 0.0359 , 
41717 , 0.0317 , 
41718 , 0.0295 , 
41720 , 0.0276 , 
41722 , 0.0325 , 
41724 , 0.0305 , 
41725 , 0.0322 , 
41728 , 0.0344 , 
41730 , 0.0273 , 
41731 , 0.0281 , 
41733 , 0.0322 , 
41735 , 0.0256 , 
41737 , 0.0332 , 
41738 , 0.0266 , 
41740 , 0.0356 , 
41742 , 0.0317 , 
41744 , 0.0315 , 
41745 , 0.0366 , 
41747 , 0.0342 , 
41749 , 0.0381 , 
41750 , 0.0325 , 
41752 , 0.0327 , 
41754 , 0.0254 , 
41756 , 0.0305 , 
41757 , 0.0254 , 
41759 , 0.0320 , 
41761 , 0.0334 , 
41763 , 0.0308 , 
41764 , 0.0254 , 
41766 , 0.0305 , 
41768 , 0.0317 , 
41769 , 0.0276 , 
41772 , 0.0288 , 
41774 , 0.0283 , 
41776 , 0.0334 , 
41777 , 0.0234 , 
41779 , 0.0283 , 
41781 , 0.0254 , 
41783 , 0.0273 , 
41784 , 0.0288 , 
41786 , 0.0325 , 
41788 , 0.0313 , 
41789 , 0.0293 , 
41791 , 0.0308 , 
41793 , 0.0352 , 
41795 , 0.0303 , 
41796 , 0.0283 , 
41798 , 0.0291 , 
41800 , 0.0281 , 
41802 , 0.0332 , 
41803 , 0.0381 , 
